Description,Price(Rs),Rating,Review Count,URL of the Product
Apple iPhone 12 (256GB) - Black,"66,999",4.5 out of 5 stars,"31,045",https://www.amazon.in/New-Apple-iPhone-12-256GB/dp/B08L5SXX3J/ref=sr_1_1?keywords=iphone&qid=1688831303&sr=8-1
Apple iPhone 14 (128 GB) - Starlight,"70,999",4.4 out of 5 stars,289,https://www.amazon.in/Apple-iPhone-14-128GB-Starlight/dp/B0BDK8LKPJ/ref=sr_1_2?keywords=iphone&qid=1688831303&sr=8-2
Apple iPhone 12 (64GB) - Purple,"55,990",4.5 out of 5 stars,"31,045",https://www.amazon.in/New-Apple-iPhone-12-64GB/dp/B0932QYBH8/ref=sr_1_3?keywords=iphone&qid=1688831303&sr=8-3
5s 16GB Original Smartphones Compatible Apple iPhone (Gold),"12,999",,,https://www.amazon.in/5s-Original-Smartphones-Compatible-iPhone/dp/B0C94VSVB2/ref=sr_1_4?keywords=iphone&qid=1688831303&sr=8-4
Apple iPhone 14 Pro Max (128 GB) - Space Black,"1,27,999",4.5 out of 5 stars,652,https://www.amazon.in/Apple-iPhone-128GB-Space-Black/dp/B0BDJ22G36/ref=sr_1_5?keywords=iphone&qid=1688831303&sr=8-5
Apple iPhone 14 (128 GB) - Blue,"70,999",4.4 out of 5 stars,433,https://www.amazon.in/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_6?keywords=iphone&qid=1688831303&sr=8-6
Apple iPhone 14 Pro (128 GB) - Silver,"1,19,999",4.5 out of 5 stars,578,https://www.amazon.in/Apple-iPhone-Pro-128GB-Silver/dp/B0BDJDZ7RH/ref=sr_1_7?keywords=iphone&qid=1688831303&sr=8-7
Apple iPhone 14 (128 GB) - Purple,"70,999",4.6 out of 5 stars,225,https://www.amazon.in/Apple-iPhone-14-128GB-Purple/dp/B0BDJ213TX/ref=sr_1_8?keywords=iphone&qid=1688831303&sr=8-8
Apple iPhone 12 (64GB) - White,"53,999",4.5 out of 5 stars,"31,045",https://www.amazon.in/New-Apple-iPhone-12-64GB/dp/B08L5VJYV7/ref=sr_1_9?keywords=iphone&qid=1688831303&sr=8-9
Apple iPhone 14 Plus (128 GB) - Starlight,"79,999",4.5 out of 5 stars,875,https://www.amazon.in/Apple-iPhone-Plus-128GB-Starlight/dp/B0BDJFTGK6/ref=sr_1_10?keywords=iphone&qid=1688831303&sr=8-10
