Description,Price(Rs),Rating,Review Count,Url of the Product
"HP 255 G8 Notebook PC,AMD Ryzen 3 3250U, 15.6 inch(39.6cm) Anti-Glare HD Laptop/8GB RAM/512GB SSD/Numeric Keypad/AMD Radeon Graphics/Win 11/1.74 Kgs 689T4PA","31,990",4.2 out of 5 stars,51,https://www.amazon.in/HP-Notebook-RyzenTM-Windows-Display/dp/B0B88K9XNJ/ref=sr_1_1?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-1
"MSI Modern 15, AMD Ryzen 5-7530U, 40CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/AMD Radeon Graphics/Classic Black/1.7Kg), B7M-071IN","44,990",4.5 out of 5 stars,4,https://www.amazon.in/MSI-Modern-15-Graphics-B7M-071IN/dp/B09Y54RW2X/ref=sr_1_2?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-2
"HP Laptop 15s, 11th Gen Intel Core i3-1115G4, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq2717TU","38,990",4.0 out of 5 stars,34,https://www.amazon.in/HP-i3-1115G4-Anti-Glare-Graphics-15s-fq2717TU/dp/B0BQN13LTQ/ref=sr_1_3?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-3
"Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 14"" (35.56cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Game Pass/Arctic Grey/1.41Kg), 82H701DNIN","37,200",4.1 out of 5 stars,"1,260",https://www.amazon.in/Lenovo-IdeaPad-35-56cm-Warranty-82H701DNIN/dp/B0B4JN3WYP/ref=sr_1_4?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-4
"HP Pavilion 14 12th Gen Intel Core i5 16GB RAM/512GB SSD 14 inch(35.6cm) IPS Micro-Edge FHD Laptop/Intel Iris Xe Graphics/B&O/Win 11/Alexa Built-in/Backlit KB/FPR/MSO 2021/Natural Silver, 14-dv2014TU","66,990",4.1 out of 5 stars,336,https://www.amazon.in/HP-Pavilion-Micro-Edge-Graphics-14-dv2014TU/dp/B0B1M9HYBT/ref=sr_1_5?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-5
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU","41,990",3.9 out of 5 stars,80,https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_6?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-6
"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE","41,990",4.3 out of 5 stars,469,https://www.amazon.in/Honor-MagicBook-Anti-Glare-Fingerprint-NobelM-WFQ9AHNE/dp/B0BC9R8XYZ/ref=sr_1_7?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-7
"Acer One 14 Laptop Intel Core i5 1135G7 (Windows 11 Home/16GB RAM/512GB SSD) Z8-415 with 35.56 cm (14.0"") Full HD Display","42,990",3.3 out of 5 stars,3,https://www.amazon.in/Acer-Windows-Student-Z8-415-Display/dp/B0C77J952V/ref=sr_1_8?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-8
"ASUS VivoBook 14, Intel Core i3-1115G4 11th Gen, 14"" (35.56 cm) FHD, Thin and Light Laptop (8GB/512GB SSD/Office 2021/Windows 11 Home/Integrated Graphics/FP Reader/Silver/1.6 kg), X415EA-EK322WS","34,990",4.1 out of 5 stars,161,https://www.amazon.in/ASUS-VivoBook-i3-1115G4-Integrated-X415EA-EK322WS/dp/B0BNHH8L9L/ref=sr_1_9?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-9
Xiaomi NotebookPro QHD+ IPS AntiGlare Display Intel Core i5-11300H 11th Gen 14 inch(35.56 cm) Thin & Light Laptop(8GB/512GB SSD/Iris Xe Graphics/Windows 11/MS Office 21/Backlight KB/FP Sensor/1.4 Kg),"44,999",4.3 out of 5 stars,"1,869",https://www.amazon.in/Notebook-Display-i5-11300H-Graphics-Fingerprint/dp/B098XM2SJ4/ref=sr_1_10?crid=3JKZD4EXHPZC&keywords=laptops&qid=1688830359&sprefix=%2Caps%2C432&sr=8-10
